State,Pop,density,Abbreviation
Alabama,4908621,96.9221,AL
Alaska,734002,1.2863,AK
Arizona,7378494,64.955,AZ
Arkansas,3038999,58.403,AR
American Samoa, 55465,1010.3,AS
California,39937489,256.3727,CA
Colorado,5845526,56.4011,CO
Connecticut,3563077,735.8689,CT
Delaware,982895,504.3073,DE
District of Columbia,720687,11814.541,DC
Florida,21992985,410.1256,FL
Georgia,10736059,186.6719,GA
Guam, 168775,803,GU
Hawaii,1412687,219.9419,HI
Idaho,1826156,22.0969,ID
Illinois,12659682,228.0243,IL
Indiana,6745354,188.281,IN
Iowa,3179849,56.9284,IA
Kansas,2910357,35.5968,KS
Kentucky,4499692,113.9566,KY
Louisiana,4645184,107.5175,LA
Maine,1345790,43.6336,ME
Maryland,6083116,626.6731,MD
Massachusetts,6976597,894.4355,MA
Michigan,10045029,177.6655,MI
Minnesota,5700671,71.5922,MN
Mississippi,2989260,63.7056,MS
Missouri,6169270,89.7453,MO
Montana,1086759,7.4668,MT
Nebraska,1952570,25.4161,NE
Nevada,3139658,28.5993,NV
New Hampshire,1371246,153.1605,NH
New Jersey,8936574,1215.1991,NJ
New Mexico,2096640,17.285,NM
New York,19440469,412.5211,NY
North Carolina,10611862,218.2702,NC
North Dakota,761723,11.0393,ND
Northern Mariana Islands,56882,309,MP
Ohio,11747694,287.5038,OH
Oklahoma,3954821,57.6547,OK
Oregon,4301089,44.8086,OR
Pennsylvania,12820878,286.5449,PA
Puerto Rico,3032165,876.6016,PR
Rhode Island,1056161,1021.4323,RI
South Carolina,5210095,173.3174,SC
South Dakota,903027,11.9116,SD
Tennessee,6897576,167.2748,TN
Texas,29472295,112.8204,TX
Utah,3282115,39.943,UT
Vermont,628061,68.1416,VT
Virgin Islands,106997,804,VI
Virginia,8626207,218.4403,VA
Washington,7797095,117.3272,WA
West Virginia,1778070,73.9691,WV
Wisconsin,5851754,108.0497,WI
Wyoming,567025,5.84,WY
